User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Emotion_Binary,Cluster
1,27.0,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness,0,2
2,21.0,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger,0,2
3,28.0,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral,0,0
4,27.0,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety,0,1
5,21.0,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom,0,0
6,25.0,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness,0,2
7,25.0,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger,0,0
8,21.0,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness,0,2
9,24.0,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral,0,0
10,33.0,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness,0,1
11,32.0,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety,0,2
12,23.0,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness,0,0
13,32.0,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom,0,0
14,25.0,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness,0,1
15,35.0,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger,0,2
16,31.0,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral,0,0
17,31.0,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety,0,2
18,34.0,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness,0,2
19,28.0,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral,0,0
20,29.0,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness,0,1
21,31.0,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety,0,0
22,23.0,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger,0,2
23,22.0,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom,0,0
24,25.0,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness,0,1
25,24.0,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness,0,0
26,29.0,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral,0,0
27,27.0,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety,0,0
28,27.0,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness,0,1
29,29.0,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger,0,2
